locationjob,location,job,gd_location,gd_job,ps_location,ps_job,indeed_location,indeed_location.1,gd_salary,ps_salary,indeed_salary,gd_date,ps_date,indeed_date,gd_two_date,ps_two_date,indeed_two_date,avg_salary
tulsa oklahomamachine learning engineer,tulsa oklahoma,machine learning engineer,tulsa oklahoma,machine learning engineer,tulsa oklahoma,machine learning engineer,tulsa oklahoma,machine learning engineer,105877,80000,28027,15-Sep-22,,,,,,71301.33333
indianasoftware quality assurance engineer,indiana,software quality assurance engineer,indiana,software quality assurance engineer,,,indiana,software quality assurance engineer,68278,,74280,,,13-Jun-23,,,,71279
floridajunior java developer,florida,junior java developer,florida,junior java developer,,,florida,junior java developer,76823,,65708,,,25-Apr-23,,,With two date,71265.5
greensboro north carolinaagile scrum master,greensboro north carolina,agile scrum master,greensboro north carolina,agile scrum master,,,,,103275,67085,43307,,,,,,,71222.33333
raleigh-durham north carolinajunior engineer manager,raleigh-durham north carolina,junior engineer manager,raleigh-durham north carolina,junior engineer manager,raleigh-durham north carolina,junior engineer manager,,,92084,50250,,,,,,,,71167
dayton ohiosoftware engineer in test,dayton ohio,software engineer in test,dayton ohio,software engineer in test,dayton ohio,software engineer in test,,,75458,66835,,,,,,,,71146.5
louisianasoftware test engineer,louisiana,software test engineer,louisiana,software test engineer,,,louisiana,software test engineer,94759,,47519,,,,,,,71139
philadelphia pennsylvaniajunior frontend developer,philadelphia pennsylvania,junior frontend developer,philadelphia pennsylvania,junior frontend developer,,,philadelphia pennsylvania,junior frontend developer,80452,,61812,,,,,,,71132
kansas city missouricomputer programmer,kansas city missouri,computer programmer,kansas city missouri,computer programmer,,,kansas city missouri,computer programmer,75107,,67154,15-Sep-22,,27-Oct-20,,,,71130.5
miami floridafrontend software engineer,miami florida,frontend software engineer,miami florida,frontend software engineer,,,miami florida,frontend software engineer,80571,,61668,,,,,,,71119.5
tampa floridacomputer programmer,tampa florida,computer programmer,tampa florida,computer programmer,,,tampa florida,computer programmer,73317,,68888,15-Sep-22,,20-Jan-21,,,With two date,71102.5
manhattan kansasit developer,manhattan kansas,it developer,manhattan kansas,it developer,manhattan kansas,it developer,,,100300,41877,,,,,,,,71088.5
tucson arizonaweb developer,tucson arizona,web developer,tucson arizona,web developer,tucson arizona,web developer,tucson arizona,web developer,83131,66660,63317,,,4-Jun-23,,,,71036
rochester new yorkjunior engineer manager,rochester new york,junior engineer manager,rochester new york,junior engineer manager,,,rochester new york,junior engineer manager,67177,,74734,,,,,,,70955.5
halifax nsios developer,halifax ns,ios developer,halifax ns,ios developer,,,halifax ns,ios developer,67924,,73951,,,,,,,70937.5
delawarejunior software engineer,delaware,junior software engineer,delaware,junior software engineer,,,delaware,junior software engineer,83371,,58464,,,,,,,70917.5
bloomington illinoiscomputer programmer,bloomington illinois,computer programmer,bloomington illinois,computer programmer,,,bloomington illinois,computer programmer,74754,,66990,,,,,,,70872
frisco texasit support engineer,frisco texas,it support engineer,frisco texas,it support engineer,frisco texas,it support engineer,frisco texas,it support engineer,87247,85020,40272,,,,,,,70846.33333
rhode islandsas programmer,rhode island,sas programmer,rhode island,sas programmer,,,rhode island,sas programmer,82868,,58795,,,,,,,70831.5
gillette wyomingengineer manager,gillette wyoming,engineer manager,gillette wyoming,engineer manager,gillette wyoming,engineer manager,gillette wyoming,engineer manager,78570,40649,93262,,,1-Mar-23,,,With two date,70827
iowacomputer programmer,iowa,computer programmer,iowa,computer programmer,,,iowa,computer programmer,69714,,71751,,,19-Oct-21,,,,70732.5
ohioit support engineer,ohio,it support engineer,ohio,it support engineer,,,ohio,it support engineer,75121,,66309,,,,,,,70715
new brunswick new jerseyweb developer,new brunswick new jersey,web developer,new brunswick new jersey,web developer,new brunswick new jersey,web developer,,,75678,65700,,,,,,,,70689
sarasota floridafrontend developer,sarasota florida,frontend developer,sarasota florida,frontend developer,,,sarasota florida,frontend developer,92166,,49029,,,20-Jan-17,,,,70597.5
boulder coloradojunior engineer manager,boulder colorado,junior engineer manager,boulder colorado,junior engineer manager,boulder colorado,junior engineer manager,boulder colorado,junior engineer manager,76832,60039,74834,,,21-Jun-22,,,With two date,70568.33333
atlanta georgiajunior software architect,atlanta georgia,junior software architect,atlanta georgia,junior software architect,,,atlanta georgia,junior software architect,81070,,60064,,,,,,,70567
arkansasinformation technology manager,arkansas,information technology manager,arkansas,information technology manager,,,arkansas,information technology manager,90980,,50147,,,23-May-23,,,,70563.5
west virginiaweb developer,west virginia,web developer,west virginia,web developer,,,west virginia,web developer,72149,,68863,,,25-Apr-23,,,With two date,70506
orange californiasoftware developer,orange california,software developer,orange california,software developer,orange california,software developer,,,80379,60629,,,,,,,,70504
jacksonville floridait support engineer,jacksonville florida,it support engineer,jacksonville florida,it support engineer,jacksonville florida,it support engineer,jacksonville florida,it support engineer,89363,65000,57029,,,,,,,70464
eugene oregonsoftware quality assurance engineer,eugene oregon,software quality assurance engineer,eugene oregon,software quality assurance engineer,,,,,83977,56814,,,,,,,,70395.5
houston texasjunior frontend developer,houston texas,junior frontend developer,houston texas,junior frontend developer,,,houston texas,junior frontend developer,80653,,60112,,,,,,,70382.5
lansing michigannetwork specialist,lansing michigan,network specialist,lansing michigan,network specialist,,,lansing michigan,network specialist,73706,,66983,,,22-Jun-22,,,,70344.5
honolulu hawaiijava developer,honolulu hawaii,java developer,honolulu hawaii,java developer,,,honolulu hawaii,java developer,101747,,38934,,,,,,,70340.5
tucson arizonait support engineer,tucson arizona,it support engineer,tucson arizona,it support engineer,tucson arizona,it support engineer,tucson arizona,it support engineer,90224,70000,50646,,,,,,,70290
houston texasplc programmer,houston texas,plc programmer,houston texas,plc programmer,,,houston texas,plc programmer,74180,,66398,,,21-Apr-23,,,With two date,70289
providence rhode islandcomputer programmer,providence rhode island,computer programmer,providence rhode island,computer programmer,,,providence rhode island,computer programmer,66848,,73729,,,,,,,70288.5
bloomington indiana.net developer,bloomington indiana,.net developer,bloomington indiana,.net developer,,,bloomington indiana,.net developer,63610,,76961,,,11-Apr-22,,,With two date,70285.5
arkansasweb developer,arkansas,web developer,arkansas,web developer,,,arkansas,web developer,86239,,54321,,,4-Jun-23,,,,70280
sioux falls south dakotafrontend developer,sioux falls south dakota,frontend developer,sioux falls south dakota,frontend developer,sioux falls south dakota,frontend developer,,,80489,60000,,,,,,,,70244.5
grand rapids michiganit support engineer,grand rapids michigan,it support engineer,grand rapids michigan,it support engineer,grand rapids michigan,it support engineer,,,84426,56000,,,,,,,,70213
vancouver bcjava developer,vancouver bc,java developer,vancouver bc,java developer,,,vancouver bc,java developer,92985,,47434,,,,,,,70209.5
providence rhode islandit support engineer,providence rhode island,it support engineer,providence rhode island,it support engineer,providence rhode island,it support engineer,,,78841,61500,,,,,,,,70170.5
missouricomputer programmer,missouri,computer programmer,missouri,computer programmer,,,missouri,computer programmer,59781,,80371,,,11-Jun-22,,,,70076
laramie wyomingsoftware developer,laramie wyoming,software developer,laramie wyoming,software developer,laramie wyoming,software developer,,,89220,50868,,,,,,,,70044
wisconsinjunior engineer manager,wisconsin,junior engineer manager,wisconsin,junior engineer manager,,,wisconsin,junior engineer manager,68687,,71382,,,4-May-23,,,With two date,70034.5
greenville south carolinajunior engineer manager,greenville south carolina,junior engineer manager,greenville south carolina,junior engineer manager,,,greenville south carolina,junior engineer manager,75612,,64453,,,23-Mar-23,,,With two date,70032.5
fort wayne indianajunior data engineer,fort wayne indiana,junior data engineer,fort wayne indiana,junior data engineer,,,fort wayne indiana,junior data engineer,88097,,51900,,,,,,,69998.5
eugene oregonit support engineer,eugene oregon,it support engineer,eugene oregon,it support engineer,eugene oregon,it support engineer,,,83446,56481,,,,,,,,69963.5
louisianajunior java developer,louisiana,junior java developer,louisiana,junior java developer,,,louisiana,junior java developer,65255,,74672,,,,,,,69963.5
nashville tennesseejunior technical lead,nashville tennessee,junior technical lead,nashville tennessee,junior technical lead,,,nashville tennessee,junior technical lead,88741,,51159,,,19-Mar-22,,,With two date,69950
texascomputer programmer,texas,computer programmer,texas,computer programmer,,,texas,computer programmer,65045,,74778,,,4-Jun-23,,,,69911.5
mesa arizonaios developer,mesa arizona,ios developer,mesa arizona,ios developer,,,mesa arizona,ios developer,99369,40452,,,,,,,,69910.5
georgiacomputer programmer,georgia,computer programmer,georgia,computer programmer,,,georgia,computer programmer,60185,,79520,15-Sep-22,,10-Jun-23,,,With two date,69852.5
tennesseesenior systems engineer,tennessee,senior systems engineer,tennessee,senior systems engineer,,,tennessee,senior systems engineer,91227,,48442,,,,,,,69834.5
sioux falls south dakotajunior software engineer,sioux falls south dakota,junior software engineer,sioux falls south dakota,junior software engineer,sioux falls south dakota,junior software engineer,sioux falls south dakota,junior software engineer,103005,68986,37503,,,,,,,69831.33333
chattanooga tennesseefrontend developer,chattanooga tennessee,frontend developer,chattanooga tennessee,frontend developer,chattanooga tennessee,frontend developer,,,83654,56000,,,,,,,,69827
greensboro north carolinamachine learning engineer,greensboro north carolina,machine learning engineer,greensboro north carolina,machine learning engineer,greensboro north carolina,machine learning engineer,,,100363,39250,,,,,,,,69806.5
